"";"lhs";"rhs";"support";"confidence";"coverage";"lift";"count"
"71";"{localizacao=Urbana,TDI_EM=[25.6,65.3],MHA_EM=[3.8,5.4)}";"{tipo=Regular}";0,214;0,961;0,223;3,71;124
"43";"{TDI_EM=[25.6,65.3],MHA_EM=[3.8,5.4)}";"{tipo=Regular}";0,218;0,955;0,228;3,685;126
"46";"{localizacao=Urbana,MHA_EM=[3.8,5.4)}";"{tipo=Regular}";0,252;0,785;0,321;3,03;146
"5";"{tipo=Regular}";"{MHA_EM=[3.8,5.4)}";0,259;1;0,259;3,016;150
"6";"{MHA_EM=[3.8,5.4)}";"{tipo=Regular}";0,259;0,781;0,332;3,016;150
"48";"{tipo=Regular,localizacao=Urbana}";"{TDI_EM=[25.6,65.3]}";0,214;0,849;0,252;2,522;124
"49";"{localizacao=Urbana,TDI_EM=[25.6,65.3]}";"{tipo=Regular}";0,214;0,649;0,33;2,506;124
"7";"{tipo=Regular}";"{TDI_EM=[25.6,65.3]}";0,218;0,84;0,259;2,494;126
"8";"{TDI_EM=[25.6,65.3]}";"{tipo=Regular}";0,218;0,646;0,337;2,494;126
"36";"{tipo=EREM,MHA_EM=[9.5,10.5]}";"{ICG=N2}";0,206;0,559;0,368;2,469;119
"35";"{tipo=EREM,ICG=N2}";"{MHA_EM=[9.5,10.5]}";0,206;0,967;0,212;2,214;119
"2";"{ICG=N2}";"{MHA_EM=[9.5,10.5]}";0,212;0,939;0,226;2,149;123
"53";"{localizacao=Urbana,MHA_EM=[3.8,5.4)}";"{TDI_EM=[25.6,65.3]}";0,223;0,694;0,321;2,059;129
"16";"{MHA_EM=[3.8,5.4)}";"{TDI_EM=[25.6,65.3]}";0,228;0,688;0,332;2,041;132
"17";"{TDI_EM=[25.6,65.3]}";"{MHA_EM=[3.8,5.4)}";0,228;0,677;0,337;2,041;132
"57";"{TDI_EM=[13.3,25.6),MHA_EM=[9.5,10.5]}";"{tipo=EREM}";0,2;0,983;0,204;1,784;116
"34";"{ICG=N2,MHA_EM=[9.5,10.5]}";"{tipo=EREM}";0,206;0,967;0,212;1,756;119
"3";"{ICG=N2}";"{tipo=EREM}";0,212;0,939;0,226;1,704;123
"59";"{tipo=EREM,MHA_EM=[9.5,10.5]}";"{TDI_EM=[13.3,25.6)}";0,2;0,545;0,368;1,651;116
"61";"{localizacao=Urbana,TDI_EM=[13.3,25.6)}";"{tipo=EREM}";0,283;0,896;0,316;1,627;164
"22";"{TDI_EM=[13.3,25.6)}";"{tipo=EREM}";0,29;0,88;0,33;1,596;168
"23";"{tipo=EREM}";"{TDI_EM=[13.3,25.6)}";0,29;0,527;0,551;1,596;168
"58";"{tipo=EREM,TDI_EM=[13.3,25.6)}";"{MHA_EM=[9.5,10.5]}";0,2;0,69;0,29;1,58;116
"66";"{localizacao=Urbana,MHA_EM=[9.5,10.5]}";"{tipo=EREM}";0,356;0,848;0,42;1,539;206
"29";"{MHA_EM=[9.5,10.5]}";"{tipo=EREM}";0,368;0,842;0,437;1,528;213
"30";"{tipo=EREM}";"{MHA_EM=[9.5,10.5]}";0,368;0,668;0,551;1,528;213
"21";"{TDI_EM=[13.3,25.6)}";"{MHA_EM=[9.5,10.5]}";0,204;0,618;0,33;1,414;118
"51";"{localizacao=Urbana,INSE=[3.54,4.26)}";"{tipo=EREM}";0,207;0,719;0,288;1,304;120
"10";"{INSE=[3.54,4.26)}";"{tipo=EREM}";0,211;0,713;0,295;1,295;122
"56";"{localizacao=Urbana,REP_EM=[2.7,5)}";"{tipo=EREM}";0,207;0,635;0,326;1,152;120
"19";"{REP_EM=[2.7,5)}";"{tipo=EREM}";0,209;0,634;0,33;1,15;121
"64";"{localizacao=Urbana,ICG=N4}";"{tipo=EREM}";0,231;0,623;0,371;1,131;134
"27";"{ICG=N4}";"{tipo=EREM}";0,237;0,617;0,383;1,12;137
"1";"{MHA_EM=[5.4,9.5)}";"{localizacao=Urbana}";0,23;0,993;0,231;1,023;133
"55";"{tipo=EREM,REP_EM=[2.7,5)}";"{localizacao=Urbana}";0,207;0,992;0,209;1,022;120
"20";"{REP_EM=[2.7,5)}";"{localizacao=Urbana}";0,326;0,99;0,33;1,019;189
"47";"{tipo=Regular,TDI_EM=[25.6,65.3]}";"{localizacao=Urbana}";0,214;0,984;0,218;1,014;124
"50";"{tipo=EREM,INSE=[3.54,4.26)}";"{localizacao=Urbana}";0,207;0,984;0,211;1,013;120
"26";"{TDI_EM=[25.6,65.3]}";"{localizacao=Urbana}";0,33;0,979;0,337;1,009;191
"32";"{tipo=EREM}";"{localizacao=Urbana}";0,539;0,978;0,551;1,008;312
"33";"{localizacao=Urbana}";"{tipo=EREM}";0,539;0,555;0,971;1,008;312
"11";"{INSE=[3.54,4.26)}";"{localizacao=Urbana}";0,288;0,977;0,295;1,006;167
"14";"{TDI_EM=[0,13.3)}";"{localizacao=Urbana}";0,325;0,974;0,333;1,004;188
"9";"{tipo=Regular}";"{localizacao=Urbana}";0,252;0,973;0,259;1,003;146
"15";"{REP_EM=[0,2.7)}";"{localizacao=Urbana}";0,32;0,974;0,328;1,003;185
"13";"{INSE=[4.26,4.55)}";"{localizacao=Urbana}";0,292;0,971;0,301;1,001;169
"4";"{ICG=N2}";"{localizacao=Urbana}";0,219;0,969;0,226;0,999;127
"18";"{MHA_EM=[3.8,5.4)}";"{localizacao=Urbana}";0,321;0,969;0,332;0,998;186
"28";"{ICG=N4}";"{localizacao=Urbana}";0,371;0,968;0,383;0,998;215
"31";"{MHA_EM=[9.5,10.5]}";"{localizacao=Urbana}";0,42;0,96;0,437;0,99;243
"24";"{TDI_EM=[13.3,25.6)}";"{localizacao=Urbana}";0,316;0,958;0,33;0,987;183
"12";"{INSE=[4.55,6.35]}";"{localizacao=Urbana}";0,287;0,954;0,301;0,983;166
"25";"{REP_EM=[5,33.2]}";"{localizacao=Urbana}";0,325;0,949;0,342;0,978;188
